Especie,Latitude,Longitude
Carica Papaya,8.109417,-80.76345
Carica Papaya,8.221283,-81.75063333
Carica Papaya,8.398517,-82.32143333
Carica Papaya,8.423333,-80.50291667
Carica Papaya,8.423767,-80.50246667
Carica Papaya,8.5098,-80.34146667
Carica Papaya,8.5446,-79.91286667
Carica Papaya,8.7011,-79.87028333
Carica Papaya,8.70165,-79.87165
Carica Papaya,8.761683,-79.87678333
Carica Papaya,8.9422,-82.14446667
Carica Papaya,8.94295,-82.14338333
Carica Papaya,8.943867,-82.16436667
Carica Papaya,8.944033,-82.14286667
Carica Papaya,8.9442,-82.14253333
Carica Papaya,8.945333,-82.14526667
Carica Papaya,8.9895,-79.57843333
Carica Papaya,8.998033,-83.56171667
Carica Papaya,8.999117,-83.56303333
Carica Papaya,8.9993,-83.56343333
Carica Papaya,8.999383,-83.56348333
Carica Papaya,9.003667,-83.57008333
Carica Papaya,9.003683,-83.57013333
Carica Papaya,9.003683,-83.57015
Carica Papaya,9.0054,-79.59221667
Carica Papaya,9.006183,-79.59351667
Carica Papaya,9.01835,-79.60998333
Carica Papaya,9.0196,-79.61225
Carica Papaya,9.051317,-83.62638333
Carica Papaya,9.05175,-83.61983333
Carica Papaya,9.060683,-83.64433333
Carica Papaya,9.06075,-83.64433333
Carica Papaya,9.060833,-83.64435
Carica Papaya,9.0677,-79.65296667
Carica Papaya,9.079033,-79.66271667
Carica Papaya,9.079317,-79.6247
Carica Papaya,9.082,-83.66451667
Carica Papaya,9.099233,-79.6813
Carica Papaya,9.111667,-79.68906667
Carica Papaya,9.111967,-79.6922
Carica Papaya,9.1181,-79.697
Carica Papaya,9.118217,-79.6973
Carica Papaya,9.120733,-79.715117
Carica Papaya,9.127964,-79.61519167
Carica Papaya,9.1857,-83.76585
Carica Papaya,9.19065,-83.77381667
Carica Papaya,9.190717,-83.77378333
Carica Papaya,9.190717,-83.77386667
Carica Papaya,9.190767,-83.77396667
Carica Papaya,9.1908,-83.77566667
Carica Papaya,9.208817,-83.80391667
Carica Papaya,9.213583,-83.81868333
Carica Papaya,9.21385,-83.81708333
Carica Papaya,9.213917,-83.81998333
Carica Papaya,9.21395,-83.82001667
Carica Papaya,9.213967,-83.82001667
Carica Papaya,9.214033,-83.82
Carica Papaya,9.352183,-83.98423333
Carica Papaya,9.369983,-84.03301667
Carica Papaya,9.370033,-84.03263333
Carica Papaya,9.370433,-84.03106667
Carica Papaya,9.373617,-84.03973333
Carica Papaya,9.373833,-84.04016667
Carica Papaya,9.373983,-84.0404
Carica Papaya,9.374033,-84.04048333
Carica Papaya,9.3859,-84.05578333
Carica Papaya,9.385917,-84.05576667
Carica Papaya,9.385933,-84.05576667
Carica Papaya,9.389733,-84.06151667
Carica Papaya,9.389733,-84.0616
Carica Papaya,9.38975,-84.06155
Carica Papaya,9.40205,-84.07871667
Carica Papaya,9.402183,-84.07883333
Carica Papaya,9.402317,-84.07885
Carica Papaya,9.402317,-84.07898333
Carica Papaya,9.4025,-84.07891667
Carica Papaya,9.402933,-84.07906667
Carica Papaya,9.4041,-84.0806
Carica Papaya,9.409633,-84.08811667
Carica Papaya,9.415667,-84.09581667
Carica Papaya,9.433717,-84.12606667
Carica Papaya,9.43375,-84.12603333
Carica Papaya,9.452583,-84.13951667
Carica Papaya,9.512883,-79.68985
Carica Papaya,9.523033,-84.42583333
Carica Papaya,9.52315,-84.42613333
Carica Papaya,9.523183,-84.4261
Carica Papaya,9.523367,-84.42681667
Carica Papaya,9.523467,-84.42696667
Carica Papaya,9.523483,-84.42693333
Carica Papaya,9.523517,-84.42753333
Carica Papaya,9.523583,-84.4277
Carica Papaya,9.536167,-84.50493333
Carica Papaya,9.536183,-84.50488333
Carica Papaya,9.536217,-84.50488333
Carica Papaya,9.536217,-84.5049
Carica Papaya,9.5384,-79.67386944
Carica Papaya,9.587783,-84.62156667
Carica Papaya,9.587817,-84.62158333
Carica Papaya,9.67585,-84.64343333
Carica Papaya,9.676467,-84.6436
Carica Papaya,9.685417,-84.65106667
Carica Papaya,9.688033,-84.64641667
Carica Papaya,9.6881,-84.64636667
Carica Papaya,9.688183,-84.64991667
Carica Papaya,9.688283,-84.646
Carica Papaya,9.6884,-84.64588333
Carica Papaya,9.688417,-84.64585
Carica Papaya,9.688433,-84.64586667
Carica Papaya,9.71435,-85.11745
Carica Papaya,9.728183,-85.03068333
Carica Papaya,9.739433,-82.84275
Carica Papaya,9.749183,-82.8706
Carica Papaya,9.749383,-85.00896667
Carica Papaya,9.7495,-82.87178333
Carica Papaya,9.750417,-82.87268333
Carica Papaya,9.753933,-84.99528333
Carica Papaya,9.754,-84.99536667
Carica Papaya,9.754033,-84.99548333
Carica Papaya,9.754333,-84.99343333
Carica Papaya,9.75435,-84.99346667
Carica Papaya,9.754667,-84.99316667
Carica Papaya,9.7735,-84.96968333
Carica Papaya,9.775083,-82.90911667
Carica Papaya,9.77535,-82.90896667
Carica Papaya,9.7754,-82.90895
Carica Papaya,9.775467,-82.90913333
Carica Papaya,9.775633,-82.9091
Carica Papaya,9.775667,-82.9091
Carica Papaya,9.775667,-82.90918333
Carica Papaya,9.790633,-84.94131667
Carica Papaya,9.790783,-84.94118333
Carica Papaya,9.79085,-84.94125
Carica Papaya,9.79285,-82.91588333
Carica Papaya,9.803783,-82.91051667
Carica Papaya,9.810283,-82.90768333
Carica Papaya,9.8105,-82.9077
Carica Papaya,9.810567,-82.90776667
